   117.013    -30.515       0.03 2002.25876643186 -0.100000
   117.013    -30.557       0.03 2001.87650501702 5.000000
   117.015    -30.685       0.03 2001.25958240646 0.000000
   117.017    -30.532       0.03 2002.04513927628 2.000000
   117.018    -31.761       0.03 2002.02833825766 3.000000
   117.019    -30.532       0.03 2001.77983662493 0.600000
   117.019    -30.543       0.03 2002.26265317942 2.000000
   117.019    -30.550       0.03 2006.47168210035 3.500000
   117.022    -30.569       0.03 2002.81955409632 1.000000
   117.023    -30.548       0.03 2001.88237191516 2.000000
   117.023    -30.548       0.03 2003.30872139992 2.000000
   117.025    -30.219       0.03 2007.500832656 0.000000
   117.025    -30.531       0.03 2002.37770120827 1.200000
   117.025    -30.551       0.03 2002.88951140534 0.800000
   117.025    -30.553       0.03 2003.78703517853 4.300000
   117.026    -30.516       0.03 2002.57799444112 2.000000
   117.026    -30.549       0.03 2004.07330662978 2.800000
   117.027    -30.516       0.03 2002.43477803445 2.000000
   117.027    -30.518       0.03 2002.41553144251 -0.400000
   117.027    -31.700       0.03 1999.70199805594 5.000000
   117.028    -30.582       0.03 2002.11186381331 5.000000
   117.029    -30.547       0.03 2002.00417401276 2.000000
   117.030    -30.538       0.03 2006.42068273966 0.000000
   117.030    -30.567       0.03 2002.03517515591 5.000000
   117.030    -30.576       0.03 2002.6678006241 5.200000
   117.031    -30.509       0.03 2002.30273055223 0.300000
   117.031    -30.515       0.03 2002.53753917123 0.000000
   117.031    -30.541       0.03 2002.05033026276 2.500000
   117.032    -30.515       0.03 2002.55316208219 1.000000
   117.032    -30.529       0.03 2002.02217979979 0.700000
   117.032    -30.885       0.03 1999.43627296753 4.000000
   117.033    -30.495       0.03 2006.63759923521 5.000000
   117.033    -30.511       0.03 2002.91937986491 1.000000
   117.033    -30.535       0.03 2006.3737756222 0.000000
   117.033    -30.550       0.03 2002.46635456118 3.200000
   117.033    -30.559       0.03 2003.66842208533 4.500000
   117.034    -30.532       0.03 2005.74552848363 0.000000
   117.034    -31.636       0.03 2006.53600130238 0.000000
   117.035    -31.004       0.03 2006.77399761864 2.500000
   117.036    -30.501       0.03 2002.31150833714 0.000000
   117.036    -30.503       0.03 2002.71077685565 -0.600000
   117.036    -30.514       0.03 2002.61268847679 0.000000
   117.037    -30.513       0.03 2004.28385256008 0.000000
   117.037    -30.515       0.03 2002.3308983763 2.000000
   117.037    -30.529       0.03 2002.74688374829 2.100000
   117.037    -30.531       0.03 2002.11040683227 -0.400000
   117.037    -30.555       0.03 2002.67908801287 2.000000
   117.037    -30.587       0.03 2001.99040572715 5.000000
   117.038    -30.496       0.03 2002.77987523528 -0.300000
   117.038    -30.503       0.03 2002.8818625038 0.700000
   117.038    -30.570       0.03 2003.59254367252 4.800000
   117.039    -30.507       0.03 2002.50617732575 -0.600000
   117.039    -30.516       0.03 2002.36966995827 0.400000
   117.039    -30.523       0.03 2004.14339919385 0.900000
